2024-03-16-15-23-57, count:573, damage:-2209
2024-03-16-15-24-27, count:574, damage:-906
2024-03-16-15-24-56, count:575, damage:-2193
2024-03-16-15-26-08, count:576, damage:-992
2024-03-16-15-26-41, count:577, damage:-180
2024-03-16-15-27-14, count:578, damage:-849
2024-03-16-15-27-43, count:579, damage:2727
2024-03-16-15-53-50, count:580, damage:-184
2024-03-16-15-54-19, count:581, damage:-192
2024-03-16-15-54-49, count:582, damage:-811
2024-03-16-15-55-28, count:583, damage:-198
2024-03-16-15-56-01, count:584, damage:-160
2024-03-16-15-56-36, count:585, damage:-1962
2024-03-16-15-57-08, count:586, damage:-888
2024-03-16-15-57-41, count:587, damage:-198
2024-03-16-15-58-21, count:588, damage:-190
2024-03-16-15-58-57, count:589, damage:-174
2024-03-16-15-59-30, count:590, damage:-2117
2024-03-16-16-00-01, count:591, damage:-895
2024-03-16-16-00-33, count:592, damage:2539
2024-03-16-16-02-08, count:593, damage:-2286
2024-03-16-16-03-24, count:594, damage:-197
2024-03-16-16-04-00, count:595, damage:-1932
2024-03-16-16-04-32, count:596, damage:-2124
2024-03-16-16-05-40, count:597, damage:-180
2024-03-16-16-06-10, count:598, damage:-792
2024-03-16-16-06-45, count:599, damage:-2444
2024-03-16-16-07-17, count:600, damage:1588
2024-03-16-16-08-14, count:601, damage:2678
2024-03-16-16-10-06, count:602, damage:-724
2024-03-16-16-10-37, count:603, damage:-839
2024-03-16-16-11-08, count:604, damage:-2210
2024-03-16-16-12-01, count:605, damage:-182
2024-03-16-16-12-35, count:606, damage:-866
2024-03-16-16-13-08, count:607, damage:-202
2024-03-16-16-13-40, count:608, damage:1527
2024-03-16-16-14-31, count:609, damage:-1984
2024-03-16-16-15-00, count:610, damage:-170
2024-03-16-16-15-32, count:611, damage:2580
2024-03-16-16-17-34, count:612, damage:-169
2024-03-16-16-18-03, count:613, damage:-181
2024-03-16-16-18-38, count:614, damage:-2254
2024-03-16-16-19-11, count:615, damage:-802
2024-03-16-16-19-45, count:616, damage:-975
2024-03-16-16-20-14, count:617, damage:-2017
2024-03-16-16-20-54, count:618, damage:-2277
2024-03-16-16-22-03, count:619, damage:-2494
2024-03-16-16-23-20, count:620, damage:-2022
2024-03-16-16-24-28, count:621, damage:-2042
2024-03-16-16-25-30, count:622, damage:-2260
2024-03-16-16-26-39, count:623, damage:-1984
2024-03-16-16-27-39, count:624, damage:-192
2024-03-16-16-28-11, count:625, damage:-905
2024-03-16-16-28-57, count:626, damage:-186
2024-03-16-16-29-36, count:627, damage:-199
2024-03-16-16-30-10, count:628, damage:-845
2024-03-16-16-30-47, count:629, damage:-2257
2024-03-16-16-31-44, count:630, damage:0
2024-03-16-16-32-41, count:631, damage:0
2024-03-16-16-33-38, count:632, damage:0
2024-03-16-16-34-10, count:633, damage:-1963
2024-03-16-16-34-56, count:634, damage:-196
2024-03-16-16-35-38, count:635, damage:-780
2024-03-16-16-36-07, count:636, damage:-2153
2024-03-16-16-36-44, count:637, damage:-167
2024-03-16-16-37-23, count:638, damage:-197
2024-03-16-16-37-53, count:639, damage:-2056
2024-03-16-16-38-31, count:640, damage:-149
2024-03-16-16-39-00, count:641, damage:-1982
2024-03-16-16-39-37, count:642, damage:-210
2024-03-16-16-40-09, count:643, damage:-2250
2024-03-16-16-40-41, count:644, damage:-2026
2024-03-16-16-41-19, count:645, damage:-2184
2024-03-16-16-42-00, count:646, damage:-2102
2024-03-16-16-42-39, count:647, damage:-186
2024-03-16-16-43-19, count:648, damage:-193
2024-03-16-16-43-56, count:649, damage:-1953
2024-03-16-16-44-31, count:650, damage:-2180
2024-03-16-16-45-09, count:651, damage:-2378
2024-03-16-16-45-41, count:652, damage:-2116
2024-03-16-16-46-33, count:653, damage:-147
2024-03-16-16-47-08, count:654, damage:-919
2024-03-16-16-47-40, count:655, damage:-2265
2024-03-16-16-48-09, count:656, damage:1568
2024-03-16-16-49-20, count:657, damage:-1600
2024-03-16-16-50-07, count:658, damage:-182
2024-03-16-16-50-38, count:659, damage:-2372
2024-03-16-16-51-22, count:660, damage:-2009
2024-03-16-16-52-25, count:661, damage:-856
2024-03-16-16-53-02, count:662, damage:-1097
2024-03-16-16-53-45, count:663, damage:-156
2024-03-16-16-54-17, count:664, damage:-2189
2024-03-16-16-55-10, count:665, damage:-191
2024-03-16-16-55-39, count:666, damage:-200
2024-03-16-16-56-11, count:667, damage:-1795
2024-03-16-16-56-44, count:668, damage:2671
2024-03-16-16-58-41, count:669, damage:-911
2024-03-16-16-59-13, count:670, damage:-2182
2024-03-16-17-00-27, count:671, damage:-165
2024-03-16-17-01-00, count:672, damage:-934
2024-03-16-17-01-35, count:673, damage:-2016
2024-03-16-17-02-04, count:674, damage:-924
2024-03-16-17-02-40, count:675, damage:-2479
2024-03-16-17-03-41, count:676, damage:-2121
2024-03-16-17-05-00, count:677, damage:-174
2024-03-16-17-05-31, count:678, damage:-170
2024-03-16-17-06-00, count:679, damage:-2199
2024-03-16-17-06-29, count:680, damage:-199
2024-03-16-17-07-15, count:681, damage:-160
2024-03-16-17-07-47, count:682, damage:-2352
2024-03-16-17-47-46, count:683, damage:-197
2024-03-16-17-48-17, count:684, damage:-853
2024-03-16-17-48-55, count:685, damage:-897
2024-03-16-17-49-31, count:686, damage:-2038
2024-03-16-17-50-04, count:687, damage:-2116
2024-03-16-17-50-36, count:688, damage:-2130
2024-03-16-17-51-35, count:689, damage:0
2024-03-16-17-52-06, count:690, damage:-171
2024-03-16-17-52-38, count:691, damage:-2032
2024-03-16-17-53-07, count:692, damage:-164
2024-03-16-17-53-44, count:693, damage:2660
2024-03-16-18-09-47, count:694, damage:-1988
2024-03-16-18-10-18, count:695, damage:-2045
2024-03-16-18-11-17, count:696, damage:0
2024-03-16-18-11-46, count:697, damage:-2296
2024-03-16-18-12-29, count:698, damage:-195
2024-03-16-18-13-14, count:699, damage:-841
2024-03-16-18-13-51, count:700, damage:2777
2024-03-16-18-15-00, count:701, damage:-1980
2024-03-16-18-16-06, count:702, damage:-197
2024-03-16-18-16-35, count:703, damage:-220
2024-03-16-18-17-11, count:704, damage:-2080
2024-03-16-18-17-45, count:705, damage:-2072
2024-03-16-18-18-26, count:706, damage:-195
2024-03-16-18-18-58, count:707, damage:-2168
2024-03-16-18-19-37, count:708, damage:-2000
2024-03-16-18-20-37, count:709, damage:-2400
2024-03-16-18-21-52, count:710, damage:-1030
2024-03-16-18-22-35, count:711, damage:-1912
2024-03-16-18-23-21, count:712, damage:-195
2024-03-16-18-23-59, count:713, damage:-899
2024-03-16-18-24-29, count:714, damage:-2040
2024-03-16-18-25-11, count:715, damage:-2126
2024-03-16-18-26-10, count:716, damage:-203
2024-03-16-18-26-40, count:717, damage:-964
2024-03-16-18-27-16, count:718, damage:-2221
2024-03-16-18-27-53, count:719, damage:-1027
2024-03-16-18-28-27, count:720, damage:-2316
2024-03-16-18-29-39, count:721, damage:-2080
2024-03-16-18-30-41, count:722, damage:-2180
2024-03-16-18-31-44, count:723, damage:-885
2024-03-16-18-32-28, count:724, damage:226
2024-03-16-18-33-34, count:725, damage:-926
2024-03-16-18-34-04, count:726, damage:-913
2024-03-16-18-34-33, count:727, damage:-2222
2024-03-16-18-35-11, count:728, damage:-2098
2024-03-16-18-36-12, count:729, damage:-667
2024-03-16-18-36-44, count:730, damage:-2321
2024-03-16-18-37-45, count:731, damage:-184
2024-03-16-18-38-26, count:732, damage:-1911
